Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),AvgDist (keepersadv_p90),TMPosition
58,Mark Flekken,NED,GK,Freiburg,Bundesliga,29,1993,34,34,3060,34,1.29,0.15,0,0.12,0,1.36,0.01,0.07,7.97,19.56,36.21,3.56,1.11,6.79,1.71,12.76,0.94,1.26,1,90,1.29,4.41,3.12,0.5,0.24,0.26,0.38,0.18,0.15,0,0.03,15,Goalkeeper
59,Yahia Fofana,FRA,GK,Angers,Ligue 1,22,2000,11,11,990,11,1.73,0.09,0,0.27,0.09,1.49,0.02,-0.15,3,11.36,23.27,6.36,3.05,6.27,3.79,13,1.55,0.82,1,90,1.73,4.91,3.18,0.27,0.09,0.64,0.09,0.18,0.09,0.09,0,11.8,Goalkeeper
60,Fraser Forster,ENG,GK,Tottenham,Premier League,35,1988,14,13,1215,13.5,1.78,0.15,0.07,0.3,0,1.58,0.03,-0.2,2.67,9.19,19.93,5.26,2.24,6.89,2.79,14.3,0.37,1.19,0.96,90,1.78,4.07,2.22,0.37,0.22,0.37,0.22,0.22,0.15,0.07,0,15.2,Goalkeeper
61,Gauthier Gallon,FRA,GK,Troyes,Ligue 1,30,1993,30,30,2667,29.6,2.2,0.17,0,0.27,0.07,1.85,0.01,-0.27,3.61,13.21,23.89,4.86,1.12,8.14,1.5,16.76,1.11,0.3,1.01,90.1,2.2,5.98,3.85,0.1,0.3,0.61,0,0.17,0.17,0,0,8.8,Goalkeeper
62,Joan García,ESP,GK,Espanyol,La Liga,22,2001,1,1,90,1,3,1,0,0,0,1.8,0.21,-1.2,2,6,27,4,21.7,3,47.3,16,2,1,1,90,3,4,1,0,1,0,0,1,1,0,0,13,Goalkeeper
63,Paulo Gazzaniga,ARG,GK,Girona,La Liga,31,1992,28,28,2520,28,1.32,0.14,0,0.14,0,1.62,0.01,0.3,5.21,14.29,29.36,5.04,1.16,8.64,1.71,17.04,1.32,1.36,1,90,1.32,4.46,3.11,0.39,0.29,0.32,0.14,0.21,0.14,0.04,0.04,15.1,Goalkeeper
64,David de Gea,ESP,GK,Manchester Utd,Premier League,32,1990,38,38,3420,38,1.13,0.05,0.05,0.16,0.03,1.09,0.01,-0.02,3.71,11.82,27.16,3.37,0.85,4.71,1.24,13.84,0.39,0.84,1,90,1.13,3.74,2.61,0.61,0.16,0.24,0.45,0.08,0.05,0.03,0,14.8,Goalkeeper
65,Rafał Gikiewicz,POL,GK,Augsburg,Bundesliga,35,1987,23,23,2070,23,1.78,0.04,0.04,0.17,0,1.8,0.01,0.01,8.04,19.65,39.83,5.52,1.43,10.17,2.13,15.78,0.91,1.96,1,90,1.78,5.91,4.04,0.35,0.13,0.52,0.22,0.17,0.04,0.09,0.04,16.7,Goalkeeper
66,David Gil,ESP,GK,Cádiz,La Liga,29,1994,4,4,360,4,1.25,0.25,0,0.25,0,1.58,0.06,0.32,8.5,23.5,23.25,3.75,11.6,9,16.27,14,0.5,1,1,90,1.25,5.75,4.5,0.25,0.25,0.5,0.25,0.25,0.25,0,0,13.6,Goalkeeper
67,Pierluigi Gollini,ITA,GK,Fiorentina,Serie A,28,1995,3,3,270,3,0.67,0,0,0.33,0,0.57,0.07,-0.1,4.33,12.67,38.33,5.67,10.8,3.67,16.43,8,0.33,0,1,90,0.67,2.67,2,0.33,0.67,0,0.67,0,0,0,0,9.3,Goalkeeper
68,Pierluigi Gollini,ITA,GK,Napoli,Serie A,28,1995,4,4,360,4,1,0,0,0.25,0,0.78,0.05,-0.22,3.75,9,32,6,7.4,7.75,8.05,14,0.5,1,1,90,1,4,3,0.5,0.25,0.25,0.5,0,0,0,0,18.8,Goalkeeper
69,Antonio Gomis,ESP,GK,Atlético Madrid,La Liga,20,2003,1,0,6,0.1,10,0,0,0,0,6,6.4,-4,0,30,20,0,585,10,940,30,0,0,0,60,10,10,0,0,0,0,0,0,0,0,0,1,Goalkeeper
70,Ivo Grbić,CRO,GK,Atlético Madrid,La Liga,27,1996,12,10,922,10.2,1.18,0.29,0,0.39,0,1.35,0.02,0.18,4.51,14.51,22.55,4.9,3.34,9.71,4.65,20.98,2.25,0.69,0.98,90.39,1.18,4.71,3.53,0.59,0.29,0.1,0.2,0.29,0.29,0,0,9.2,Goalkeeper
71,Dominik Greif,SVK,GK,Mallorca,La Liga,26,1997,1,1,90,1,3,0,0,0,0,2.2,0.28,-0.8,19,34,23,2,54.9,15,64.5,19,2,0,1,90,3,8,5,0,0,1,0,0,0,0,0,4,Goalkeeper
72,Lennart Grill,GER,GK,Union Berlin,Bundesliga,24,1999,5,5,450,5,2.2,0.4,0,0.2,0,1.8,0.06,-0.4,9.6,21.6,39.4,5.6,7.42,3.4,11.04,9.4,1.6,1.4,1,90,2.2,5,2.8,0.4,0.2,0.4,0.4,0.4,0.4,0,0,15.1,Goalkeeper
73,Vicente Guaita,ESP,GK,Crystal Palace,Premier League,36,1987,27,27,2430,27,1.26,0.07,0,0.15,0.07,1.2,0.01,0.01,4.26,11.85,23.52,5.19,1.2,7.63,1.39,15.19,0.96,0.96,1,90,1.26,4.3,3.11,0.26,0.33,0.41,0.22,0.07,0.07,0,0,13.1,Goalkeeper
74,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,33,1990,6,6,540,6,1.67,0.17,0,0.33,0.17,1.68,0.06,0.18,1.83,6.17,29.83,6.17,4.4,6,4.93,10.17,0.5,1.67,1,90,1.67,4.33,2.83,0.33,0.33,0.33,0.33,0.17,0.17,0,0,19.4,Goalkeeper
75,Samir Handanović,SVN,GK,Inter,Serie A,38,1984,14,14,1234,13.7,1.31,0.07,0,0.07,0.07,1.09,0.02,-0.15,3.28,6.35,37.08,5.18,1.8,5.18,1.86,10.88,0.15,0.73,1.02,90.07,1.31,3.8,2.55,0.66,0,0.36,0.29,0.07,0.07,0,0,15.4,Goalkeeper
76,Dean Henderson,ENG,GK,Nott'ham Forest,Premier League,26,1997,18,18,1620,18,1.72,0.11,0.06,0.28,0,1.49,0.02,-0.23,6,18.56,28.5,5.94,2.14,8.67,2.52,16.17,1.11,1.5,1,90,1.72,4.72,2.89,0.28,0.28,0.44,0.33,0.28,0.11,0.11,0.06,15.6,Goalkeeper
77,Wayne Hennessey,WAL,GK,Nott'ham Forest,Premier League,36,1987,4,3,271,3,1.67,0,0,0.33,0,1.3,0.09,-0.37,7.67,19.33,24,4.33,14.4,8.33,18.17,11.67,0.33,0.67,1,90.33,1.67,4.67,3,0,0.67,0.33,0.33,0,0,0,0,17,Goalkeeper
78,Sergio Herrera,ESP,GK,Osasuna,La Liga,30,1993,17,17,1530,17,1.35,0.06,0.06,0.18,0.06,1.26,0.02,-0.04,8.88,20.65,27.94,3.41,2.51,7.94,2.84,12.65,0.94,1.18,1,90,1.35,4.18,2.82,0.29,0.18,0.53,0.18,0.24,0.06,0.06,0.12,18.5,Goalkeeper
79,Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,33,1989,33,33,2969,33,1.42,0.21,0.03,0.15,0.06,1.25,0.01,-0.11,3.55,11.3,27.24,4.48,0.97,6.12,1.17,12.24,0.82,0.79,1,89.97,1.42,4.3,2.94,0.42,0.24,0.33,0.27,0.21,0.21,0,0,14.1,Goalkeeper
80,Daniel Iversen,DEN,GK,Leicester City,Premier League,25,1997,12,12,1080,12,1.83,0.17,0.17,0.17,0.08,1.58,0.02,-0.18,3.17,16.17,21.75,4.08,3.1,9.5,3.85,16.92,1.33,0.5,1,90,1.83,4.92,3.17,0.17,0.33,0.5,0.08,0.17,0.17,0,0,10.3,Goalkeeper
81,Jan Jakob Olschowsky,GER,GK,M'Gladbach,Bundesliga,21,2001,4,4,360,4,2.75,0.25,0,0.25,0,2.85,0.1,0.1,2.75,9.25,30.75,6.25,7.62,9,5.22,14.75,1.5,1,1,90,2.75,7.75,5,0.25,0.25,0.5,0,0.25,0.25,0,0,12.9,Goalkeeper
82,Sam Johnstone,ENG,GK,Crystal Palace,Premier League,30,1993,9,9,810,9,1.11,0.22,0,0.44,0.11,1.11,0.03,0.11,3.33,11,25.89,4.56,3.53,5.11,4.76,11.56,0.22,1.22,1,90,1.11,3.78,2.78,0.44,0.33,0.22,0.33,0.22,0.22,0,0,15.4,Goalkeeper
83,Filip Jörgensen,DEN,GK,Villarreal,La Liga,21,2002,2,2,180,2,1.5,0,0,0,0,1.15,0.2,-0.35,0,2,22,4.5,11.4,5.5,8.75,9,1,2,1,90,1.5,3,1.5,0,0.5,0.5,0,0,0,0,0,13.3,Goalkeeper
84,Bingourou Kamara,SEN,GK,Montpellier,Ligue 1,26,1996,5,4,408,4.5,2.44,0.22,0,0.44,0,2.02,0.06,-0.42,4,12.67,21.11,4.22,7.87,7.78,8.87,11.56,0.67,0.44,0.89,90.67,2.44,5.56,2.89,0,0.22,0.67,0,0.67,0.22,0.22,0.22,11.2,Goalkeeper
